Theta	Phi	Total-adj
0	0	-1.8963
1	0	-2.3638
2	0	-2.139
3	0	-1.3852
4	0	1.0109
5	0	-7.7667
6	0	-8.6538
7	0	-15.5426
8	0	-14.5339
9	0	-11.2594
10	0	-10.5328
11	0	-2.2373
12	0	-7.2524
13	0	-8.0326
14	0	-4.158
15	0	-3.6073
16	0	-1.9617
17	0	-5.1304
18	0	-2.6113
19	0	3.1025
20	0	3.8087
21	0	-3.0963
22	0	1.0777
23	0	-0.8185
24	0	-5.1098
25	0	-6.9304
26	0	-7.5637
27	0	-1.3156
28	0	-8.3017
29	0	-2.6757
30	0	-5.2392
31	0	-2.5975
32	0	-2.9274
33	0	-7.0577
34	0	-11.7997
35	0	-3.3137
36	0	-2.9152
37	0	1.5937
38	0	1.4886
39	0	4.9476
40	0	4.4639
41	0	4.0192
42	0	3.6224
43	0	-0.4535
44	0	2.2989
45	0	-0.3018
46	0	-0.8233
47	0	-0.7771
48	0	0.0288
49	0	0.4017
50	0	-1.4353
51	0	-2.1677
52	0	-1.4713
53	0	-0.7693
54	0	-1.6978
55	0	-1.808
56	0	-1.4128
57	0	-3.2627
58	0	-0.7033
59	0	0.0201
60	0	-0.1339
61	0	-3.2915
62	0	-3.6775
63	0	-2.0032
64	0	-0.4517
65	0	-1.7377
66	0	-1.4884
67	0	-0.6985
68	0	-1.1659
69	0	-1.163
70	0	-1.2351
71	0	0.0529
72	0	0.1984
73	0	-0.594
74	0	-2.2092
75	0	-3.9984
76	0	-3.3303
77	0	-12.2132
78	0	-10.1791
79	0	-10.7826
80	0	1.5074
81	0	-2.5213
82	0	-12.6108
83	0	-5.1232
84	0	-3.6495
85	0	-10.1526
86	0	-13.5334
87	0	-0.4832
88	0	-7.493
89	0	-12.4187
90	0	-1.2233
91	0	-28.142
92	0	-24.8957
93	0	-26.4182
94	0	-37.4514
95	0	-37.4906
96	0	-27.2867
97	0	-27.7916
98	0	-33.419
99	0	-10.0806
100	0	-11.2322
101	0	-20.2645
102	0	-19.2686
103	0	-6.7239
104	0	-6.6363
105	0	-3.725
106	0	-5.9748
107	0	-8.2535
108	0	-4.1799
109	0	-3.6393
110	0	-1.8552
111	0	-3.3158
112	0	-4.6639
113	0	-4.875
114	0	-4.8451
115	0	-3.6513
116	0	-1.9717
117	0	-3.3314
118	0	-1.3361
119	0	-1.7415
120	0	1.4557
121	0	-0.583
122	0	-3.3081
123	0	-2.6123
124	0	-0.4091
125	0	1.6501
126	0	-3.6917
127	0	-1.1405
128	0	-1.3507
129	0	0.5593
130	0	-4.0154
131	0	-1.228
132	0	-0.7271
133	0	-1.671
134	0	-14.8026
135	0	-6.786
136	0	-1.3681
137	0	-3.3389
138	0	-0.516
139	0	-2.132
140	0	-1.3344
141	0	-0.463
142	0	3.704
143	0	2.1749
144	0	-0.649
145	0	-1.7888
146	0	0.4929
147	0	2.0538
148	0	1.4889
149	0	4.0001
150	0	2.6927
151	0	2.4754
152	0	0.8642
153	0	1.4003
154	0	1.9372
